WORD,DEFINITION,FILTERED  BY CHARACTERS
loss,"The word ""loss"" refers to the state or condition of losing something or someone, resulting in a reduction in quantity, quality, or value. It can also denote the feeling of grief or mourning associated with the absence of something or someone important. In various contexts, ""loss"" may refer to financial loss, the loss of health, or the loss of a relationship. Overall, it signifies deprivation or absence.",4
loss,"The word ""loss"" refers to the state or condition of losing something or someone. It can indicate a decrease in quantity, value, or quality, and is often associated with the experience of grief or sadness due to the absence of what was lost. In different contexts, ""loss"" can pertain to financial deficit (monetary loss), the defeat in a competition (sports loss), or the death of a loved one (personal loss).",4
lost,"The word ""lost"" is an adjective that generally means unable to find one's way; not knowing one's location or the whereabouts of something. It can also refer to something that has been misplaced or is no longer in possession or control. Additionally, ""lost"" can describe a feeling of being confused, disoriented, or lacking direction in life or a situation. In a broader sense, it can also imply failure to win, as in ""a lost opportunity"" or ""a lost game.""",4
Lota,"The word ""lota"" can have a few different meanings, depending on the context:

1. **In a Cultural Context**: In South Asian cultures, a ""lota"" refers to a small pot, traditionally used for holding water, especially for hygienic purposes such as washing hands or for personal cleanliness after using the toilet.

2. **In Nature**: ""Lota"" is also a term used in biology, particularly referring to a genus of fish in the family Lotidae, which includes species like the burbot.

3. **In Botany**: In some contexts, ""lota"" can refer to the lotus flower, particularly in botanical or poetic contexts.

If you are looking for a specific meaning or context, please specify!",4
lota,"The word ""lota"" has a couple of meanings in English:

1. **Lota (noun)**: A small container or vessel, often used for holding water, typically made of metal or clay. In some cultures, it is used for ceremonial purposes or for personal hygiene.

2. **Lota (noun)**: In botanical terms, ""Lota"" refers to certain species within the genus of flowering plants in the family Acanthaceae.

It's worth noting that ""lota"" may also be used in specific cultural contexts with additional meanings.",4
lots,"The word ""lots"" is a plural noun that generally refers to a large number or amount of something. It can indicate a great deal or a variety of items or instances. For example, one might say, ""There are lots of books in the library,"" meaning there are many books. 

Additionally, ""lots"" can also be used informally to mean ""a lot"" as in ""I have lots of time,"" which implies having plenty of time. 

In another context, ""lot"" can refer to a specific piece of land or a parcel of property, especially in real estate contexts. 

Overall, the meaning of ""lots"" can vary based on context, but it primarily conveys the idea of abundance or numerousness.",4
lotto,"The word ""lotto"" refers to a type of lottery game in which players choose a set of numbers from a larger pool, and prizes are awarded based on how many of the chosen numbers match those drawn in a random selection. The term is often associated with various forms of gambling and can also refer to similar games of chance. Additionally, ""Lotto"" can be the name of specific lottery games or systems, especially in Europe.",5
lotus,"The word ""lotus"" refers to a type of flowering plant, typically belonging to the family Nymphaeaceae or the genus Nelumbo. The most well-known species are the water lilies and the sacred lotus, which has significance in various cultures and religions, particularly in Hinduism and Buddhism, symbolizing purity and spiritual awakening. Additionally, ""lotus"" can refer to the fruit of the lotus plant, as well as to various species of legumes in the family Fabaceae, sometimes associated with the term ""lotus bean."" In literature and metaphor, the lotus often represents beauty, tranquility, and renewal.",5
lough,"The word ""lough"" refers to a lake or an inlet, particularly in Ireland and some parts of Scotland. It is often used to designate a body of water that is either freshwater or brackish. The term is derived from the Irish word ""loch,"" which has a similar meaning. In geographical contexts, ""lough"" typically denotes a small, tranquil body of water that may be used for recreational purposes, fishing, or as a scenic feature in the landscape.",5
loupe,"A ""loupe"" is a small magnifying glass, often used by jewelers, watchmakers, and other professionals to magnify small details for inspection. It typically consists of a convex lens mounted in a frame, and it can be handheld or sometimes worn on the eye, allowing users to closely examine the intricate features of objects.",5
louse,"The word ""louse"" refers to a small, wingless insect that is a parasite, typically found on mammals, including humans. There are different species of lice, which feed on the blood, skin, or hair of their hosts. It can also be used informally as a derogatory term to describe a worthless or despicable person. In the plural form, ""lice"" is commonly used to refer to these insects.",5
lout,"The word 'lout' is a noun that refers to an uncouth or boorish person, typically one who is clumsy or awkward in behavior. It can also imply a lack of refinement in manners or social skills. The term is often used in a derogatory manner to describe someone who acts in a rude or impolite way.",4
lover,"The word ""lover"" refers to a person who has a deep affection or romantic attachment to another person. It can also denote someone who is involved in a romantic or sexual relationship. Additionally, the term can be used more broadly to describe someone who enjoys or is passionate about a particular activity, subject, or thing (e.g., an art lover).",5
lowan,"The word ""lowan"" is not a standard English term and does not have a widely recognized definition in English language dictionaries as of my last knowledge update in October 2023. It may be a misspelling, a proper noun, or a term from a specific dialect or context. If you provide more context or specify the area in which you've encountered this term, I can help clarify its meaning or suggest an alternative.",5
lower,"The word ""lower"" can be used as both a verb and an adjective:

1. **As a verb**:
   - **Definition**: To bring something down in position, status, or amount; to reduce the height, intensity, or level of something.
   - **Example**: She decided to lower the volume of the music.

2. **As an adjective**:
   - **Definition**: Situated or placed at a lower level; less high or elevated; of lesser importance or rank.
   - **Example**: The lower shelf of the bookcase is where the heavy books are stored.

3. **Other uses**: 
   - ""Lower"" can also refer to the comparative form of ""low,"" indicating a smaller degree, amount, or level than something else.
  
The usage of ""lower"" can vary based on context, but it generally relates to reduction in height, position, or quantity.",5
loxia,"The word ""loxia"" refers to a genus of birds known as crossbills, which are characterized by their distinctively crossed mandibles (beaks). These birds are primarily found in coniferous forests and are known for their ability to extract seeds from pine cones and other coniferous seed sources. The term is often used in ornithology to categorize these unique birds.",5
Luba,"The word ""Luba"" can refer to several different things depending on the context:

1. **Cultural Group**: The Luba are an ethnic group in the Democratic Republic of the Congo, known for their rich cultural heritage, art, and history.

2. **Language**: Luba also refers to the Bantu language spoken by the Luba people, which includes dialects such as Luba-Katanga and Luba-Lulua.

3. **Name**: Luba is a feminine given name in various cultures.

If you have a specific context in mind, please provide more details for a more accurate definition!",4
lube,"The word ""lube"" is a colloquial abbreviation of ""lubricant."" It refers to a substance, often a liquid or gel, that is applied to reduce friction between surfaces in mutual contact, which ultimately helps to reduce wear and tear and prevent damage. Lubricants can be used in a variety of contexts, including machinery, automotive applications, and personal use, such as in sexual activity to enhance comfort.",4
luck,"The word ""luck"" refers to the concept of chance or fortune, often considered as a force that can bring about positive or negative outcomes in life. It is commonly associated with events that happen randomly and are beyond a person's control, such as good or bad fortune, favorable circumstances, or unexpected successes or failures. Luck can be seen as a way to describe the unpredictable nature of life and the role that chance plays in personal experiences.",4
lucre,"The word ""lucre"" refers to money or profit, especially when regarded as gained in a sordid or dishonorable way. It is often used in the phrase ""filthy lucre"" to imply ill-gotten gains or profit from unethical practices. The term originates from the Latin word ""lucrum,"" which means profit.",5
ludo,"""Ludo"" is a board game that originated in England, based on the ancient Indian game of Pachisi. It is typically played by two to four players, and the objective is to move all of one’s pieces from a starting point around the board to a designated finish area according to the roll of a die. The game involves elements of chance and strategy, as players can send opponents' pieces back to the starting area by landing on the same space. The term ""ludo"" can also refer broadly to similar board games.",4
lues,"The word ""lues"" is a plural noun that refers to syphilis, a sexually transmitted infection caused by the bacterium Treponema pallidum. The term is somewhat archaic and is often found in older medical texts. In modern usage, the word ""syphilis"" is more commonly used to describe the condition. 

If you need definitions of other words or further information, feel free to ask!",4
luff,"The word ""luff"" has a couple of meanings, particularly in nautical contexts:

1. **As a verb**: In sailing, ""luff"" refers to the action of turning the bow of a sailing vessel towards the wind, thereby reducing the sail's angle to the wind, which can help the boat slow down or avoid a collision.

2. **As a noun**: ""Luff"" can refer to the forward edge of a sail that faces the wind.

Additionally, in a more general sense, ""luff"" can also mean to flap loosely, as in the sails of a boat when they are not properly trimmed. 

Overall, its primary association is with sailing and the behavior of sails in relation to the wind.",4
Luffa,"'Luffa' refers to a genus of tropical and subtropical vines in the cucumber family, Cucurbitaceae. The most commonly known species is Luffa aegyptiaca, which produces a fibrous fruit that, when mature and dry, can be processed into a sponge-like material. This natural sponge is often used for bathing, cleaning, and exfoliating the skin. Additionally, luffa can also refer to the edible immature fruits, which are used in various culinary dishes in some cultures.",5
luge,"The word ""luge"" refers to a type of sporting activity and moveable vehicle. In sports, a luge is a small, one- or two-person sled that is used for racing down a narrow, twisting, banked, and often icy track. The competitors lie on their backs and steer the sled using subtle shifts in body weight. The sport of luge is also known as a winter sliding sport and is part of the Winter Olympic Games. In a broader sense, ""luge"" can also refer to the event itself.",4
luger,"The term 'luger' primarily refers to a type of semi-automatic pistol, specifically the Luger P08, which was designed in Germany and became famous for its use in both World Wars. It's known for its distinctive toggle-lock mechanism and ergonomic grip. The word can also refer to a person who participates in the sport of luge, which is a type of sliding sport where an individual makes timed runs while lying on a small, one- or two-person sled down a narrow, twisting, banked, and generally downhill course.",5
lull,"The word ""lull"" can function as both a verb and a noun.

As a verb, ""lull"" means to calm or soothe someone, often to the point of making them sleepy or less agitated. It can also refer to the act of inducing a state of rest or inactivity.

As a noun, ""lull"" typically refers to a temporary period of calm or quiet, especially after a time of activity or disturbance. It can also denote a pause or break in an ongoing process or situation.

For example:
- Verb: ""The mother sang a lullaby to lull her baby to sleep.""
- Noun: ""There was a lull in the conversation before the next topic was introduced.""",4
lumen,"The word 'lumen' has a couple of meanings, depending on the context:

1. In anatomy, a lumen refers to the inside space of a tubular structure, such as a blood vessel or a intestine. It is the cavity or channel within a tube-like organ.

2. In physics and illumination, a lumen is a unit of measurement for luminous flux. It quantifies the amount of light emitted by a source in a particular direction, and it's commonly used to describe the brightness of light bulbs and other lighting devices.

Depending on your specific interest, 'lumen' can pertain to either biological or physical sciences.",5
lump,"The word ""lump"" can have several meanings depending on the context:

1. **Noun**: A small, solid mass or chunk of material, often irregularly shaped. For example, a lump of sugar or a lump of coal.

2. **Noun**: A swelling or bump on the body, often due to injury or illness, such as a lump on the skin.

3. **Noun**: A large amount of something, typically used in phrases like ""a large lump of money.""

4. **Verb**: To put things together in a single group or category, often implying that they are not being dealt with individually. For example, ""to lump all the expenses together.""

5. **Verb**: To move or carry something in a heavy, awkward way.

These definitions illustrate the versatility of the word ""lump"" in both its noun and verb forms.",4
lunch,"The word ""lunch"" refers to a meal that is typically eaten in the middle of the day, usually between breakfast and dinner. It can vary in size and complexity, ranging from a light snack to a full meal, and is commonly enjoyed at home, at work, or in social settings. The term can also refer to the time of day when this meal is eaten.",5
Lunda,"""Lunda"" refers to a Bantu ethnic group primarily found in the Democratic Republic of the Congo, Zambia, and Angola. They are known for their rich cultural traditions and history. The term can also refer to the Lunda language, which is spoken by this ethnic group. Additionally, ""Lunda"" may refer to various geographical locations or features named after the Lunda people or their language. If you meant something else by ""Lunda,"" please provide additional context!",5
lung,"The word 'lung' refers to one of a pair of spongy, air-filled organs located in the chest of humans and many animals. The primary function of the lungs is to facilitate the exchange of oxygen and carbon dioxide between the air and the bloodstream. Inhalation allows oxygen to enter the lungs, where it is absorbed into the blood, while exhalation removes carbon dioxide from the blood to be expelled from the body. The lungs are essential for respiration and play a critical role in maintaining overall health.",4
lunge,"The word ""lunge"" can be defined as follows:

1. **Verb**: To make a sudden, forward movement or thrust, often in a quick, forceful manner. This can refer to a physical action, such as lunging forward to catch something or to attack.

2. **Noun**: A quick, forceful movement or thrust forward. In fitness, it specifically refers to an exercise where one leg is stepped forward and bent at the knee while the other leg remains behind, often used to strengthen the legs and improve balance.

Overall, ""lunge"" conveys a sense of movement that is dynamic and often intended to reach a target or gain momentum.",5
lungi,"""Lungi"" refers to a type of traditional garment commonly worn in South Asia, particularly in countries like India, Bangladesh, and Sri Lanka. It is typically a piece of cloth, often made of cotton, that is wrapped around the waist and tied, similar to a sarong. Lungis are usually worn by men in informal settings and are popular for their comfort and breathability, especially in warm climates.",5
lunt,"The word ""lunt"" is a regional term primarily used in some areas of England. It can refer to a light breeze or a soft wind. In some contexts, it may also be used informally to mean a lazy spell or a nap. However, it is not commonly used in modern English and may not be familiar to many speakers. If you have a specific context in mind for the term, please let me know!",4
lupus,"""Lupus"" is a term that primarily refers to a chronic autoimmune disease known as systemic lupus erythematosus (SLE). In this condition, the immune system mistakenly attacks healthy tissues, leading to inflammation and damage in various parts of the body, including the skin, joints, kidneys, and heart. The word ""lupus"" itself is derived from Latin, meaning ""wolf,"" which historically was thought to describe the characteristic rash that can appear on the face of affected individuals, resembling a wolf's bite.

In a more general context, ""lupus"" can also refer to other types of lupus, such as cutaneous lupus erythematosus, which primarily affects the skin.",5
lurch,"The word ""lurch"" is a verb that means to make an abrupt, unsteady, or uncontrolled movement. It can also refer to a sudden tilt or swaying motion. As a noun, ""lurch"" can describe the act of staggering or swaying, often in a clumsy manner, or a sudden, awkward movement. In a more figurative sense, it can refer to being caught in a difficult or precarious situation, often without warning.",5
lure,"The word ""lure"" can function as both a noun and a verb.

As a noun, ""lure"" refers to something that attracts or tempts someone to do something, often in a way that is deceptive or misleading. For example, a bait used in fishing is a lure, or it could refer to an enticing offer that persuades someone to act.

As a verb, ""lure"" means to attract or entice someone to go somewhere or to do something, often by offering something appealing or appealing to their desires.

Overall, the concept of ""lure"" involves the idea of drawing someone in through attraction or temptation.",4
lush,"The word ""lush"" can have several meanings, depending on the context:

1. **Describing Nature**: In the context of vegetation, ""lush"" refers to something that is rich, abundant, and thriving. For example, lush greenery indicates a landscape full of healthy, vibrant plants.

2. **Luxury and Opulence**: ""Lush"" can also describe something that is luxurious or extravagant, often in a way that is visually appealing or indulgent. This can apply to decor, fabrics, or experiences that are sumptuous.

3. **Describing Flavors or Scents**: The term can also be used to describe rich and pleasing flavors or aromas, often implying a depth and complexity that is enjoyable.

4. **Informal Usage**: In British slang, ""lush"" can colloquially refer to a person who drinks excessively, although this is less common.

Overall, ""lush"" generally conveys a sense of richness and abundance, whether it pertains to nature, luxury, or sensory experiences.",4
lute,"The word ""lute"" can refer to a couple of different things:

1. **Musical Instrument**: A lute is a stringed musical instrument with a deep round body, a long neck, and a fretted fingerboard. It typically has a curved back and is played by plucking the strings. Lutes were popular during the Renaissance and Baroque periods.

2. **Seal or Protect**: In a different context, ""lute"" can also be used as a verb meaning to cover or seal an object, especially in the context of pottery or in chemistry, where it refers to sealing a container to make it airtight.

These definitions highlight both its musical and practical uses.",4
Lutra,"""Lutra"" is a Latin word that means ""otter."" It is used in scientific contexts, particularly in taxonomy, to refer to the genus that includes various species of otters. In a broader sense, 'Lutra' can also refer to characteristics or aspects related to otters in natural history or ecological studies.",5
lying,"The word ""lying"" is the present participle of the verb ""lie."" It has two primary meanings:

1. **To not tell the truth**: This refers to the act of deliberately providing false information or deceiving someone. For example, when a person says something that is not true with the intention of misleading others, they are ""lying.""

2. **To rest or recline**: This usage pertains to the act of being in a horizontal position on a surface, such as lying down on a bed or the ground.

Context will usually clarify which meaning is intended when the word ""lying"" is used.",5
lymph,"Lymph is a clear, yellowish fluid that circulates through the lymphatic system in the body. It is composed of water, electrolytes, proteins, and various types of white blood cells, especially lymphocytes. Lymph plays a crucial role in immune function, helping to transport nutrients, waste products, and immune cells throughout the body. It also helps maintain fluid balance by collecting and returning excess interstitial fluid to the bloodstream.",5
lynx,"The word ""lynx"" refers to a type of wild cat belonging to the genus Lynx. Lynxes are medium-sized felines characterized by their tufted ears, short tails, and long legs. They typically have thick fur and are known for their keen eyesight and ability to hunt in various environments, including forests and tundra. There are several species of lynx, such as the Eurasian lynx, Canada lynx, and Iberian lynx. The term can also be used more broadly to refer to these animals collectively.",4
Lyon,"""Lyon"" refers to a city in France, located in the Auvergne-Rhône-Alpes region. It is the third-largest city in France and is known for its historical significance, culture, and cuisine. Lyon is situated at the confluence of the Rhône and Saône rivers and has a rich history dating back to Roman times. It is recognized as a UNESCO World Heritage site for its well-preserved architectural landmarks and is often considered the gastronomic capital of France. Additionally, ""Lyon"" could also refer to the Lyonnais people, the dialect spoken in the region, or various institutions and entities named after the city.",4
lyra,"The word ""lyra"" can refer to several things:

1. **Astronomy**: Lyra is a small constellation in the northern sky, named after the lyre, a musical instrument. It is home to the bright star Vega, which is one of the brightest stars in the night sky.

2. **Music**: Historically, a lyra (or lyre) is a stringed musical instrument known for its U-shaped frame and is associated with ancient Greek music and poetry.

3. **Literature**: Sometimes ""lyra"" is used in literary contexts to refer to themes of music or poetry, echoing its connection to the lyre.

Depending on the context, ""lyra"" can pertain to astronomy, music, or cultural references related to the lyre.",4
lyre,"A ""lyre"" is a stringed musical instrument that has a U-shaped body and typically includes a resonator. It is played by plucking the strings with the fingers or a plectrum. The lyre has ancient origins and is associated with various cultures, particularly in ancient Greece. It is often linked to themes of poetry and music in mythology and literature.",4
lyric,"The word ""lyric"" can refer to several related concepts:

1. **Adjective**: Pertaining to the expression of emotions or feelings, especially in a poetic or musical format. For example, it describes poetry that is focused on personal thoughts and emotions rather than narrative or dramatic elements.

2. **Noun**: A form of poetry that expresses personal emotions and thoughts, often in a musical quality. It can also refer to the words of a song, typically conveying the artist's feelings or experiences.

3. In a broader context, ""lyric"" may also refer to a genre of music characterized by its focus on melodic and emotional content, such as in pop or folk songs.

Overall, ""lyric"" encapsulates the essence of emotional expression, whether in written poetry or music.",5
lysin,"""Lysin"" is a term that can refer to a type of amino acid, specifically one that is essential for human health. In a broader context, it is also used in biochemistry to refer to certain substances or components that promote the breakdown of proteins. However, the term is not commonly used in everyday language and may be more prevalent in specialized scientific contexts. If you have a specific context in mind for the word ""lysin,"" please provide it for a more tailored definition!",5
lysis,"The word ""lysis"" refers to the process of breaking down or disintegration of cells, typically occurring in biological systems. It is often associated with the destruction of cell membranes, leading to the release of cellular contents. Lysis can occur due to various factors, such as the action of enzymes, chemicals, or the immune response, and is commonly observed in contexts like viral infection, bacterial cell death, or in laboratory procedures.",5
macao,"""Macao"" typically refers to a former Portuguese territory located on the southeastern coast of China, known for its blend of Chinese and Portuguese cultures, as well as its tourism, gaming industry, and historical architecture. In 1999, Macao was handed over to China and is now a Special Administrative Region (SAR). If you are referring to a different context or meaning, please provide more details!",5
macaw,"A macaw is a large, colorful bird belonging to the family Psittacidae, which includes parrots. Macaws are known for their vibrant plumage, strong beaks, and social behavior. They are native to Central and South America and typically inhabit tropical rainforests, savannas, and woodlands. Macaws are also recognized for their intelligence and ability to mimic sounds and speech.",5
macer,"The word ""macer"" is a noun that refers to a person or thing that macerates, which means to soften or separate tissue (often in the context of food or biological materials) by soaking or steeping in a liquid. In a more general sense, it can be used to describe someone who causes something to become tender or to break down into smaller parts through the action of wetting or soaking. It is not a commonly used term in everyday language.",5
Macon,"""Macon"" can refer to several things, but it is primarily known as a proper noun. Here are the two most common references:

1. **Macon, Georgia**: A city located in the central part of the U.S. state of Georgia. It is known for its historical significance, cultural heritage, and as a center for music and the arts.

2. **Macon (French Wine)**: In the context of wine, ""Macon"" refers to a wine region in Burgundy, France, known for producing white wines, primarily made from Chardonnay grapes.

If you were referring to another context or meaning for ""Macon,"" please provide additional details!",5
macro,"The word 'macro' can have several meanings depending on the context:

1. **General Definition**: In general usage, 'macro' is an abbreviation of the term 'macroscopic,' referring to large-scale or large in size. It contrasts with 'micro,' which refers to small-scale.

2. **In Computing**: In the context of computing and programming, 'macro' refers to a set of instructions that can be invoked to automate repetitive tasks. It is often used in software applications like spreadsheets and word processors to simplify complex commands or actions.

3. **In Economics**: 'Macro' is short for 'macroeconomics,' which is the branch of economics that studies the behavior and performance of an economy as a whole, including factors like national productivity, overall levels of prices, and employment.

4. **In Photography**: In photography, 'macro' refers to a type of photography that captures small subjects at a very close range, showing intricate details that may not be visible to the naked eye.

Overall, 'macro' typically indicates a focus on the larger perspective or broader scope of a particular subject.",5
madam,"The word ""madam"" is a noun used as a polite and formal way to address or refer to a woman. It can also be used in specific contexts, such as addressing a woman in authority or as a title for a woman who runs a brothel. Additionally, ""madam"" can serve as a term of respect in formal correspondence.",5
Madia,"""Madia"" refers to a genus of flowering plants in the aster family, commonly known for species such as ""Madia sativa,"" also known as common madia or oilseed madia. These plants are often found in North America and are characterized by their yellow flowers and oil-rich seeds. Madia is also sometimes associated with certain cultural or regional uses in traditional medicine or food. If you meant a different context for ""Madia,"" please provide more details!",5
Magh,"The word ""Magh"" does not have a widely recognized meaning in English on its own. However, it might refer to ""Magh,"" which is a month in the Hindu calendar, typically associated with the winter season in India. This month is significant in various religious and cultural contexts, including rituals and festivals.

If ""Magh"" pertains to a specific context or language, please provide additional details for a more accurate definition.",4
Magi,"The term ""Magi"" refers to a group of wise men or priests, traditionally associated with ancient Persia, who were believed to have special knowledge of astrology, medicine, and the interpretation of dreams. In a biblical context, ""Magi"" often refers to the three wise men who visited Jesus after his birth, as described in the Gospel of Matthew. These figures are typically depicted as bringing gifts of gold, frankincense, and myrrh. The word can also relate to the practice of magic or sorcery, stemming from its ancient roots.",4
magi,"The term ""magi"" refers to a group of wise men from the East, traditionally believed to be scholars or priests, who visited Jesus after his birth, as described in the Gospel of Matthew in the New Testament. They are often associated with the practice of astrology and the interpretation of dreams. The word ""magi"" is the plural form of ""magus,"" which in ancient times referred to a member of the Zoroastrian priestly class in ancient Persia. In a broader sense, ""magi"" can also refer to any individuals who are skilled in magic or the occult.",4
magic,"The word ""magic"" can be defined as follows:

1. **As a noun**: 
   - The power or act of influencing events and producing marvels using mysterious or supernatural forces; often associated with the performance of tricks and illusions intended to entertain or astonish a spectator.
   - The art of performing these tricks and the techniques used in conjuring.
   - A quality that brings enchantment or a sense of wonder; an extraordinary or inexplicable phenomenon.

2. **As an adjective**: 
   - Relating to the use of supernatural powers or abilities; enchanting or captivating in nature.

Overall, ""magic"" encompasses both the mystical aspects associated with supernatural forces and the performative aspects of illusion and entertainment.",5
magma,"Magma is a molten or semi-molten rock located beneath the Earth's surface. It is composed of various minerals and gases and can rise to the surface through volcanic activity, where it is then referred to as lava. Magma is typically formed from the partial melting of the Earth's mantle or crust due to high temperatures and pressures.",5
maha,"The word ""maha"" is derived from Sanskrit and is often translated to mean ""great"" or ""large."" It is commonly used in various contexts, particularly in Hindu and Buddhist texts, to denote something of significant magnitude, importance, or esteem. Additionally, ""maha"" can be part of compound words in various languages, indicating greatness or superiority in something, such as ""mahabharata"" (the great epic) or ""mahal"" (palace). Depending on the context, it can also refer to specific cultural or historical concepts in South Asia.",4
Mahdi,"The term ""Mahdi"" refers to a messianic figure in Islamic eschatology, particularly within Shia Islam, who is believed to be the prophesied redeemer of Islam. The Mahdi is expected to emerge before the Day of Judgment to restore justice, guide the faithful, and establish a period of peace and righteousness. The concept varies between different Islamic sects, but it generally denotes a savior or leader who will appear in the end times.",5
mahoe,"The term ""mahoe"" refers to a type of tree known scientifically as *Gliricidia sepium*, which is commonly found in tropical regions. It is also known for its use in agroforestry and as a shade tree due to its fast growth and ability to improve soil quality. Additionally, ""mahoe"" may refer to a specific type of wood derived from this tree, which is used for various purposes, including crafting and construction. In some contexts, it may also refer to other trees in the genus *Mahu*, particularly in the Caribbean.",5
maid,"The word ""maid"" generally refers to a female servant, particularly one who is responsible for household duties such as cleaning, cooking, and other domestic tasks. It can also refer to a young unmarried woman or a girl. In certain contexts, ""maid"" can have a more formal or historical connotation, often associated with roles in larger households or in literature. The term is often used in phrases like ""head maid"" or ""chambermaid,"" which specify particular responsibilities within the service.",4
Maidu,"The term ""Maidu"" refers to a group of Native American tribes originally from Northern California. It is also used to describe the languages spoken by these tribes, which are part of the Penutian language family. The Maidu people traditionally inhabited areas around the Sierra Nevada foothills and are known for their rich cultural heritage, including traditional crafts, stories, and ceremonies.",5
mail,"The word ""mail"" has several meanings in English:

1. **Noun**: It refers to letters, packages, and other items sent or delivered by a postal service. For example: ""I received a letter in the mail.""
2. **Verb**: It means to send something via postal service. For example: ""I will mail the package tomorrow.""
3. **Noun (historical)**: It can also refer to a type of armor made of interlinked metal rings, known as mail armor.
4. **Noun (slang)**: In some contexts, it may refer to the act of sending or receiving emails, especially in informal situations.

The primary usage typically pertains to the postal system.",4
main,"The word ""main"" is an adjective that typically means the most important or primary part of something. It can refer to the central or principal aspect of an idea, issue, or object. For example, one might refer to the ""main event"" in a schedule, or the ""main idea"" in a piece of writing. Additionally, ""main"" can also function as a noun in some contexts, such as referring to a primary supply line, like a water main or gas main.",4
Maine,"""Maine"" refers to a state located in the northeastern region of the United States. It is known for its rocky coastline, maritime history, and scenic landscapes, including forests and mountains. The capital of Maine is Augusta, and the largest city is Portland. The state is also famous for its lobster and blueberry production. Additionally, ""Maine"" can refer to the state's unique cultural and historical attributes, as well as its position as the easternmost state in the contiguous United States.",5
mains,"The word ""mains"" has a few different meanings depending on the context:

1. **Electrical Mains**: This refers to the primary source of electricity supply in a building or area, typically used to power electrical devices and appliances.

2. **Water Mains**: In plumbing, ""mains"" can refer to the main pipelines that supply water to homes and businesses.

3. **Food Context**: In culinary terms, ""mains"" often refers to main courses of a meal, the primary dishes served during a dining experience.

4. **Fishing**: In fishing, ""mains"" can refer to the main line used in fishing gear.

These definitions illustrate the use of the term ""mains"" in various fields.",5
maize,"The word 'maize' refers to a cereal plant (Zea mays) that is widely cultivated for its edible grains, commonly known as corn in North America. It is a staple food in many countries and is used for various purposes, including as livestock feed, in food products, and as a source of starch and industrial materials. The term 'maize' is often used in British English, while 'corn' is more commonly used in American English. The plant has tall, sturdy stalks and large leaves, and it produces ears that contain the kernels of grain.",5
Maja,"The word ""Maja"" can have different meanings depending on the context. In some cultures, it is a name of female origin, often used in countries like Spain and Poland. Additionally, ""Maja"" can refer to a traditional figure in Spanish folklore, typically representing a beautiful woman adorned in traditional dress. In other contexts, ""maja"" could be a term found in various languages with different meanings. If you have a specific context in mind, please provide more details for a more precise definition.",4
make,"The word ""make"" is a verb that generally means to create, produce, or construct something. It can also refer to the act of forming or causing something to come into existence. Additionally, ""make"" can denote the process of performing an action or causing a particular result. 

Here are some specific usages of ""make"":
1. To cause to exist: ""She made a new friend.""
2. To construct or manufacture: ""They make furniture.""
3. To perform or carry out: ""He will make a speech.""
4. To prepare or assemble: ""Can you make dinner tonight?""

In various contexts, ""make"" can also imply change or transformation, as in ""make a difference"" or ""make up one's mind.""",4
make,"The word ""make"" is a verb that has several related meanings, including:

1. **To create or produce**: To bring something into existence through physical effort or construction. Example: ""She will make a cake for the party.""
  
2. **To cause to become**: To change something's state or condition. Example: ""The news made him happy.""

3. **To perform or execute**: To carry out an action or process. Example: ""They will make a presentation tomorrow.""

4. **To assemble or put together**: To combine various components to form a whole. Example: ""He plans to make a model airplane.""

5. **To establish or form**: To create a particular situation or arrangement. Example: ""We need to make a decision soon.""

The term can also be used in various phrases and idiomatic expressions, extending its range of meanings.",4
maker,"The word ""maker"" is a noun that refers to a person or a thing that creates, constructs, or produces something. It can denote an individual involved in producing physical objects, such as craftspeople or artisans, as well as those who create digital content or software. In a broader sense, ""maker"" is often associated with the DIY (do-it-yourself) culture, emphasizing creativity and hands-on involvement in making.",5
mako,"The word ""mako"" refers to a type of shark belonging to the genus Isurus, which includes species such as the shortfin mako (Isurus oxyrinchus) and the longfin mako (Isurus paucus). These sharks are known for their speed and agility, making them one of the fastest species of sharks. Mako sharks are found in both temperate and tropical waters and are often recognized for their streamlined bodies and pointed snouts. They are also sought after in sport fishing due to their fighting ability and are known for their sharp teeth and predatory nature.",4
malar,"The word ""malar"" refers to something related to the cheekbone or the area of the face that corresponds with the cheekbone. In anatomical contexts, it is often used to describe structures associated with the maxilla (the upper jawbone) and zygomatic bone (the bone that forms the prominence of the cheek). It can also refer to the malar region or malar surface of the skull.",5
Malay,"The term ""Malay"" can refer to several related concepts:

1. **Ethnic Group**: It is an ethnic group native to the Malay Peninsula, eastern Sumatra, and coastal Borneo, and their descendants are found in various countries including Malaysia, Indonesia, Brunei, and Singapore.

2. **Language**: ""Malay"" also refers to the Malay language, which is the national language of Malaysia and one of the official languages of Brunei and Indonesia (where it is known as Bahasa Indonesia).

3. **Cultural Context**: It may describe the traditions, customs, and practices of the Malay people, which encompass a rich cultural heritage including music, dance, art, and cuisine.

4. **Geographical Reference**: The term can also denote the broader cultural and geographical region known as the Malay Archipelago, which consists of numerous islands in Southeast Asia.

In summary, ""Malay"" encompasses the identity, language, culture, and geographical aspects associated with the Malay people.",5
